WORKSHEET NO:;;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;;;;;DECO STITCHING;EMBROIDERY;;;;;;;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-008-FS 2016;City Man PRE;353;4/24/2015;Mattia;5/20/2015;8448A;Fix in Pirmasens;combi.1;312 101 04 3500 1000;Mattia PH7461  42;;13 Herren Schnürer;80315000949;goat tumble;black;307;goat rustico;navy;Prime;;;;;;;Synthetik Dora PU perforated;blue;Wilhelm;SF 13 Synthetik Dora PU blau / K19;;;;;NO;NO;leather 1/2  /  textile 1/2;blue;TKT20;Z4;353 / Wilhelm;leather 1/2  /  textile 1/2;bugatti;black;NO;NO;Mattia Serie;light natural, welt: d'blue & natural, top lift: black;PVC;SGM India;flexi;353;hot stamp;20mm;;22mm;2,5mm round waxed cotton;dark blue;blind eyelets;;TKT40 Z870; DHS Z853;; DHS Z870;;;TKT20 Z870;;TKT20 Z853;;;;;;like WS-326;Normal;Thermo plastic 1,2 mm (Ago);normal ;;;Bugatti;;;;;;;;
WORKSHEET NO:;;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;;;;;DECO STITCHING;EMBROIDERY;;;;;;;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-038-FS 2016;City Man PRE;370;4/25/2015;Hugo Light;5/20/2015;8503;Fix in Pirmasens;combi.1;312 106 60 4000 1000;Hugo Light PH8195 42H;;14 Herren Slipper;80315000978;fez nappa;black;370;goat new salina;70605;370;;;;;;;546/ prosecco;109;Wilhelm;KF 12 546 / prosecco special stretch / Wilhelm color 109;Sheep leather;mud;370;;NO;NO;leather 1/2  /  textile 1/2;mud;TKT20;Z11;370 / Wilhelm;leather 1/2  /  textile 1/2;bugatti;black;NO;NO;Hugo Light Sample;d'blue, midwelt: grey, welt: natural, welt stitching: like ref. shoe;EVA;SA Industries / Asian Soles;super flexi;370;hot stamp;18mm;;25mm;elastic;black;;;TKT40 Z868; DHS Z11;; DHS Z868;; DHS Z853;TKT15 Z868;;TKT40 Z868;;TKT15 Z11;;TKT15 Z853;;like WS-248;Normal;Thermo plastic 1,2 mm (Ago);normal ;;;Soft Flex / Genial Light;;;;;;;;
WORKSHEET NO:;;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;;;;;DECO STITCHING;EMBROIDERY;;;;;;;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-037-FS 2016;City Man PRE;370;4/25/2015;Hugo Light;5/20/2015;8432B;Fix in Pirmasens;combi.1;312 106 02 4000 1000;Hugo Light PH8195 42H;;13 Herren Schnürer;80315000976;fez nappa;black;370;goat colt;grey;370;;;;;;;546/ prosecco;109;Wilhelm;KF 12 546 / prosecco special stretch / Wilhelm color 109;;;;;NO;NO;leather 1/2  /  textile 1/2;mud;TKT20;Z11;370 / Wilhelm;leather 1/2  /  textile 1/2;bugatti;black;NO;NO;Hugo Light Sample;d'blue, midwelt: grey, welt: natural, welt stitching: like ref. shoe;EVA;SA Industries / Asian Soles;super flexi;370;debossing;18mm;;25mm;2,5mm round waxed cotton;black;blind eyelets;;TKT40 Z837; DHS Z837;; DHS Z11;;;TKT15 Z853;;TKT15 Z11;;TKT15 Z837;;;;less shine;Normal;Thermo plastic 1,2 mm (Ago);normal ;;;Soft Flex / Genial Light;;;;;;;;
WORKSHEET NO:;bugatti;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;;;;;DECO STITCHING;EMBROIDERY;;;;;;;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-000-FS 2016;City Man;325;8/3/2016;Rodolfo;;8382B-V1;Fix in Pirmasens;;311 152 02 1100 6300;Rodolfo PH8124C 42E;;13 Herren Schnürer;;cow classic;tan to cognac;325;;;;;;;;;;dry tex plus;1304;Wilhelm;TF 8C Wilh. Textil 185 / Drytex plus col. 1304 schwarz;Synthetik Dora PU;d'brown;Wilhelm;;NO;NO;Fussbett - leather 1/2  /  textile 1/2;d'brown;TKT20;Z868;325 / Wilhelm;leather 1/2  /  textile 1/2;bugatti  EXTRA  WIDE;black;NO;NO;Rodolfo sample;black, welt: brown, heel: brown;PU;SS Polymers;flexi;325;hot stamp;23mm;;29mm;2,5mm round waxed cotton;tdm;blind eyelets;;TKT40 Z844;;;;;;TKT20 Z844;;TKT40 Z844;;;;;;like 311-152-01-1100-6300;Extra Wide;Thermo plastic 1,2 mm (Ago);normal ;;;Extra Wide / Genial Light / hand finish;;;;;;;;
WORKSHEET NO:;bugatti;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;;;;;DECO STITCHING;EMBROIDERY;;;;;;;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-001-FS 2016;City Man;391;6/19/2015;Ermano;7/20/2015;8542B-V1;Fix in Pirmasens;;311 140 01 4000 1000;Ermano PH8149A 42H;;13 Herren Schnürer;;RHS;black;391;;;;;;;;;;leather cow perforated;petrol;391;LF 6 leather petrol / K19;;;;;NO;NO;leather 1/2  /  textile 1/2;petrol;TKT20;Z101;391 / Wilhelm;leather 1/2  /  textile 1/2;bugatti;black;NO;NO;Ermano sample;dark grey / black colored;Light TR shore 55;Mondial;super flexi;391;hot stamp;20mm;;21mm;5mm flat waxed cotton;black;blind eyelets / bugatti eyelet;gun metal;TKT40 Z101; DHS Z101;;;;;TKT40 Z101;;;;;;;;like T8106-1L-100;Normal;Thermo plastic 1,2 mm (Ago);normal ;;;bugatti;;;;;;;;
WORKSHEET NO:;bugatti;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;;;;;DECO STITCHING;EMBROIDERY;;;;;;;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-002-FS 2016;City Man;391;6/19/2015;Ermano;7/20/2015;8543;Fix in Pirmasens;;311 140 60 4000 1000;Ermano PH8149A 42H;;14 Herren Slipper;;RHS;black;391;;;;;;;;;;leather cow perforated;petrol;391;LF 6 leather petrol / K19;;;;;NO;NO;leather 1/2  /  textile 1/2;petrol;TKT20;Z101;391 / Wilhelm;leather 1/2  /  textile 1/2;bugatti;black;NO;NO;Ermano sample;dark grey / black colored;Light TR shore 55;Mondial;super flexi;391;debossing;20mm;;21mm;elastic;black;;;TKT40 Z101; DHS Z101;;;;;TKT20 Z101;;TKT40 Z101;;;;;;like T8164-1L-100;Normal;Thermo plastic 1,2 mm (Ago);normal ;;;bugatti;;;;;;;;
